byline,headline,link
"by Joaquin Sapien ProPublica,  Today, 11:55 a.m.","On Rikers Island, a Move Toward Reform Causes Trouble","On Rikers Island, a Move Toward Reform Causes Trouble"
"by Joe Sexton ProPublica,  Yesterday, 3 p.m.","Amid the Blaring Headlines, Routine Reports of Hate-Fueled Violence","Amid the Blaring Headlines, Routine Reports of Hate-Fueled Violence"
"by Allison McCartney and Jeremy B. Merrill ProPublica,  Yesterday, 8 a.m.",Keep an Eye On Your State’s Congressional Delegation,Keep an Eye On Your State’s Congressional Delegation
"by David Eads ProPublica,  July 24, 12:39 p.m.",How (and Why) We’re Collecting Cook County Jail Data,How (and Why) We’re Collecting Cook County Jail Data
"by Talia Buford ProPublica,  July 24, 8 a.m.",Has the Moment for Environmental Justice Been Lost?,Has the Moment for Environmental Justice Been Lost?
,ProPublica Illinois Is Hiring a Communications Manager,ProPublica Illinois Is Hiring a Communications Manager
"by Abrahm Lustgarten ProPublica,  July 21, 8 a.m.",Kaboom Town,Kaboom Town
"by Ashley Gilbertson ProPublica,  July 21, 7:59 a.m.","In Colfax, Echoes of Another Conflict","In Colfax, Echoes of Another Conflict"
"by Lylla Younes and Abrahm Lustgarten ProPublica,  July 21, 7:59 a.m.","One Year, One Facility, 1.7 Million Pounds of Hazardous Waste Burned in Open Air","One Year, One Facility, 1.7 Million Pounds of Hazardous Waste Burned in Open Air"
"by Abrahm Lustgarten ProPublica,  July 20, 8 a.m.","Open Burns, Ill Winds","Open Burns, Ill Winds"
"by Hilary Fung, Lena Groeger and Abrahm Lustgarten ProPublica,  July 20, 7:59 a.m.",Toxic Fires,Toxic Fires
"by Lena Groeger ProPublica,  July 19, 11 a.m.",The Immigration Effect,The Immigration Effect
"by Jeremy B. Merrill ProPublica,  July 19, 8 a.m.","Authenticating Email Using DKIM and ARC, or How We Analyzed the Kasowitz Emails","Authenticating Email Using DKIM and ARC, or How We Analyzed the Kasowitz Emails"
"by Marcelo Rochabrun ProPublica,  July 18, 3:36 p.m.",Advocacy Groups Say Senators Should Have One Word for Trump Immigration Pick: ‘No.’,Immigration
"by Derek Kravitz, ProPublica, Alan Huffman, special to ProPublica, and Matt Drange, Forbes, July 18, 8 a.m.",Hotelier-in-Chief: Here Are the Trumps’ New Hotels,Hotelier-in-Chief: Here Are the Trumps’ New Hotels
"by Derek Kravitz, Al Shaw and Terry Parris Jr., ProPublica, and Matt Drange, Forbes July 18, 7:59 a.m.",We Found New Details About the New Trump-Branded Hotels. Now We Want Your Help to Find the Rest.,We Found New Details About the New Trump-Branded Hotels. Now We Want Your Help to Find the Rest.
"by Marshall Allen ProPublica,  July 18, 5 a.m.",The Myth of Drug Expiration Dates,Wasted Medicine
"by Jason Grotto, ProPublica/Chicago Tribune,  July 17, 4:30 p.m.",Cook County Assessor Faces Questions About Property Tax Inequity,Cook County Assessor Faces Questions About Property Tax Inequity
