byline,headline,link,summary
"by Joaquin Sapien ProPublica,  Today, 11:55 a.m.","On Rikers Island, a Move Toward Reform Causes Trouble",https://www.propublica.org/article/on-rikers-island-a-move-toward-reform-causes-trouble/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Joe Sexton ProPublica,  Yesterday, 3 p.m.","Amid the Blaring Headlines, Routine Reports of Hate-Fueled Violence",https://www.propublica.org/article/amid-the-blaring-headlines-routine-reports-of-hate-fueled-violence/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Allison McCartney and Jeremy B. Merrill ProPublica,  Yesterday, 8 a.m.",Keep an Eye On Your State’s Congressional Delegation,https://www.propublica.org/nerds/item/keep-an-eye-on-your-states-congressional-delegation/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by David Eads ProPublica,  July 24, 12:39 p.m.",How (and Why) We’re Collecting Cook County Jail Data,https://www.propublica.org/nerds/item/how-and-why-collecting-cook-county-jail-data/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Talia Buford ProPublica,  July 24, 8 a.m.",Has the Moment for Environmental Justice Been Lost?,https://www.propublica.org/article/has-the-moment-for-environmental-justice-been-lost/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
,ProPublica Illinois Is Hiring a Communications Manager,https://www.propublica.org/atpropublica/item/propublica-illinois-is-hiring-a-communications-manager/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Abrahm Lustgarten ProPublica,  July 21, 8 a.m.",Kaboom Town,https://www.propublica.org/article/military-pollution-toxic-burns-colfax-louisiana,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Ashley Gilbertson ProPublica,  July 21, 7:59 a.m.","In Colfax, Echoes of Another Conflict",https://www.propublica.org/article/military-pollution-photos-colfax-louisiana-ashley-gibertson,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Lylla Younes and Abrahm Lustgarten ProPublica,  July 21, 7:59 a.m.","One Year, One Facility, 1.7 Million Pounds of Hazardous Waste Burned in Open Air",https://projects.propublica.org/graphics/colfax,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Abrahm Lustgarten ProPublica,  July 20, 8 a.m.","Open Burns, Ill Winds",https://www.propublica.org/article/military-pollution-open-burns-radford-virginia,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Hilary Fung, Lena Groeger and Abrahm Lustgarten ProPublica,  July 20, 7:59 a.m.",Toxic Fires,https://projects.propublica.org/graphics/burn-sites,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Lena Groeger ProPublica,  July 19, 11 a.m.",The Immigration Effect,https://projects.propublica.org/graphics/gdp,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Jeremy B. Merrill ProPublica,  July 19, 8 a.m.","Authenticating Email Using DKIM and ARC, or How We Analyzed the Kasowitz Emails",https://www.propublica.org/nerds/item/authenticating-email-using-dkim-and-arc-how-we-analyzed-the-kasowitz-email/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Marcelo Rochabrun ProPublica,  July 18, 3:36 p.m.",Advocacy Groups Say Senators Should Have One Word for Trump Immigration Pick: ‘No.’,https://www.propublica.org/series/immigration/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Derek Kravitz, ProPublica, Alan Huffman, special to ProPublica, and Matt Drange, Forbes, July 18, 8 a.m.",Hotelier-in-Chief: Here Are the Trumps’ New Hotels,https://www.propublica.org/article/hotelier-in-chief-here-are-the-trumps-new-hotels/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Derek Kravitz, Al Shaw and Terry Parris Jr., ProPublica, and Matt Drange, Forbes July 18, 7:59 a.m.",We Found New Details About the New Trump-Branded Hotels. Now We Want Your Help to Find the Rest.,https://projects.propublica.org/graphics/trump-hotels,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Marshall Allen ProPublica,  July 18, 5 a.m.",The Myth of Drug Expiration Dates,https://www.propublica.org/series/wasted-medicine/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
"by Jason Grotto, ProPublica/Chicago Tribune,  July 17, 4:30 p.m.",Cook County Assessor Faces Questions About Property Tax Inequity,https://www.propublica.org/article/joseph-berrios-cook-county-assessor-property-tax-inequity/,"by Joaquin Sapien ProPublica,  Today, 11:55 a.m."
